ticker,company,issuer,spot,predicted,date_posted
2356,大新銀行 (02356),德意志銀行,,11.5,31/7/2013 13:49
1398,工商銀行 (01398),摩根大通,,6.85,31/7/2013 13:32
272,瑞安房地產 (00272),美銀美林,,2.55,31/7/2013 11:02
1101,熔盛重工 (01101),德銀,1.6,0.7,31/7/2012 16:13
119,保利香港 (00119),瑞銀,,5.3,31/7/2012 15:51
891,利邦 (00891),德銀,8,5.3,31/7/2012 15:25
2888,渣打銀行 (02888),里昂,,217,31/7/2012 14:17
1886,匯源果汁 (01886),瑞銀,2,1.7,31/7/2012 13:48
11,恆生銀行 (00011),摩根士丹利,80,87,31/7/2012 13:41
11,恆生銀行 (00011),巴克萊,,92.1,31/7/2012 13:39
2038,富士康 (02038),高盛,3.5,2.4,31/7/2012 13:37
2688,新奧能源 (02688),富瑞,82,80.75,31/5/2019 18:44
857,中國石油 (00857),摩根士丹利,,7.97,31/5/2018 12:07
1288,農業銀行 (01288),摩根大通,4.4,4.6,31/5/2018 12:06
168,青島啤酒 (00168),滙豐,28.5,28.1,31/5/2017 12:44
1177,中國生物製藥 (01177),大華繼顯,5.71,5.89,31/5/2017 10:58
322,康師傅控股 (00322),麥格理,10.2,7.3,31/5/2016 11:03
489,東風集團股份 (00489),瑞信,,13.4,31/5/2016 11:02
322,康師傅控股 (00322),大和,7.7,6.8,31/5/2016 11:02
2388,中銀香港 (02388),花旗,,31,31/5/2016 11:01
3,中華煤氣 (00003),里昂,,22.85,31/5/2013 08:25
210,達芙妮 (00210),摩根士丹利,,7.9,31/5/2013 17:47
322,康師傅 (00322),瑞銀,,23,31/5/2013 17:47
658,中國高速傳動 (00658),高盛,2.9,3.3,31/5/2013 17:46
493,國美電器 (00493),DBS唯高達,,1.31,31/5/2013 12:51
493,國美電器 (00493),瑞信,0.6,0.58,31/5/2013 12:34
1066,威高股份 (01066),瑞信,,6.7,31/5/2013 12:28
210,達芙妮國際 (00210),摩根士丹利,12.1,7.9,31/5/2013 12:26
1800,中國交通建設 (01800),瑞銀,7.07,7.82,31/5/2012 15:19
6837,海通證券 (06837),摩根大通,,12.5,31/5/2012 15:17
4,九龍倉 (00004),瑞信,49.1,55.1,31/5/2012 15:16
1066,威高股份 (01066),高盛,8.5,8.2,31/5/2012 15:05
2688,新奧能源 (02688),瑞銀,,32,31/5/2012 15:04
322,康師傅 (00322),瑞銀,30.2,26.2,31/5/2012 11:59
322,康師傅 (00322),高盛,24.6,15.9,31/5/2012 11:50
493,國美電器 (00493),匯豐證券,,3.79,31/5/2011 08:24
538,味千(中國) (00538),瑞銀,,20,31/5/2011 08:21
1117,現代牧業 (01117),德銀,,3.3,31/5/2011 08:20
83,信和置業 (00083),未來資產,,16.65,31/5/2011 17:48
999,I.T (00999),建銀國際,8.3,12.4,31/5/2011 17:17
688,中國海外 (00688),未來資產,,18.33,31/5/2011 15:49
66,港鐵公司 (00066),高盛,,36.1,31/5/2011 15:46
270,粵海投資 (00270),高盛,,5,31/5/2011 15:36
2909,利豐 (02909),摩根大通,23.75,21,31/5/2011 15:20
83,信和置業 (00083),未來資產,,16.65,31/5/2011 15:18
3377,遠洋地產 (03377),未來資產,,4.43,31/5/2011 15:15
999,I.T (00999),建銀國際,,12.4,31/5/2011 15:12
887,英皇鐘錶珠寶 (00887),里昂,,1.6,31/5/2011 15:09
1068,雨潤食品 (01068),麥格理,,32.3,31/5/2011 11:12
337,盛高置地 (00337),麥格理,,4.9,31/5/2010 17:30
144,招商局國際 (00144),麥格理,,31,31/5/2010 16:25
1199,中遠太平洋 (01199),麥格理,,11.5,31/5/2010 16:09
3368,百盛集團 (03368),里昂,,14.4,31/5/2010 15:49
1880,百麗國際 (01880),里昂,,13.7,31/5/2010 15:40
903,冠捷科技 (00903),CIMB-GK,,6.88,31/5/2010 14:43
3818,中國動向 (03818),高盛,,7.2,31/5/2010 14:40
2010,瑞年國際 (02010),里昂,,6.49,31/5/2010 14:36
522,ASM Pacific (00522),里昂,,93,31/5/2010 14:33
881,中升集團 (00881),瑞銀,,12.5,31/5/2010 10:38
144,招商局 (00144),麥格理,21,31,31/5/2010 10:33
992,聯想集團 (00992),大福證券,,5.79,31/5/2010 10:29
1398,工商銀行 (01398),富瑞,,7.6,31/3/2017 13:11
434,博雅互動 (00434),廣發證券,11.2,6,31/3/2015 14:40
1913,普拉達 (01913),里昂,38.8,41.5,31/3/2015 12:03
3333,恒大地產 (03333),里昂,,2.7,31/3/2015 11:26
939,建設銀行 (00939),麥格理,,7.6,31/3/2014 16:37
3389,亨得利 (03389),里昂,,1.4,31/3/2014 15:48
2328,中國財險 (02328),摩根大通,13,14,31/3/2014 14:28
2328,中國財險 (02328),里昂,,10.8,31/3/2014 14:27
697,首長國際 (00697),美銀美林,1.28,1.2,31/3/2011 09:50
